doe_id,filter_time,probability_value,event_time,f1-Score,kappa
T01,100,0.4,100,0.6741,0.3511
T02,100,0.45,200,0.6681,0.3366
T03,100,0.5,300,0.6494,0.2988
T04,100,0.55,400,0.607,0.2141
T05,100,0.6,500,0.6492,0.2985
T06,200,0.4,200,0.7062,0.4125
T07,200,0.45,300,0.6955,0.3916
T08,200,0.5,400,0.6502,0.303
T09,200,0.55,500,0.6543,0.3086
T10,200,0.6,100,0.6997,0.409
T11,300,0.4,300,0.7156,0.4312
T12,300,0.45,400,0.6988,0.4002
T13,300,0.5,500,0.6795,0.3607
T14,300,0.55,100,0.6088,0.2329
T15,300,0.6,200,0.683,0.3994
T16,400,0.4,400,0.722,0.4443
T17,400,0.45,500,0.7204,0.4417
T18,400,0.5,100,0.6371,0.2857
T19,400,0.55,200,0.6266,0.273
T20,400,0.6,300,0.7095,0.4299
T21,500,0.4,500,0.7254,0.4512
T22,500,0.45,100,0.6515,0.3146
T23,500,0.5,200,0.6388,0.2918
T24,500,0.55,300,0.6514,0.309
T25,500,0.6,400,0.6116,0.2348
